Entry Price,Sell Price,Quantity,PnL,Trade Duration (s),Trade Date Time,Sell Reason,Percent of Trade,Highest Price Reached,Earnings with Highest Price (%),Lowest Price Reached,Lowest Price under Buy Price (%),Long / Short,Earnings Total,Earnings per Trade,Percent per Trade,Profit per year,Profit with ...,50
158.24,158.1,0.17,0.0083085664,34.46,2025-11-05T15:01:16.974Z,profit target reached,0.01314747547,158.245,0.0608,158.075,0.0032,short,,,,,,
158.18,157.9,0.17,0.0321178688,12.67,2025-11-05T15:03:10.868Z,profit target reached,0.05080404487,158.185,0.0608,157.915,0.0032,short,,,,,,
158.94,159.12,0.17,0.0150321888,17.56,2025-11-05T15:39:39.967Z,profit target reached,0.02389216088,159.125,0.0588,158.935,-0.0031,long,,,,,,
159.26,159.1,0.17,0.0116091776,7.56,2025-11-05T16:12:45.633Z,profit target reached,0.01848877625,159.265,0.0608,159.095,0.0031,short,,,,,,
159.61,159.74,0.17,0.0064678064,139.6,2025-11-05T16:34:46.643Z,profit target reached,0.0103232658,159.755,0.0332,159.425,-0.1159,long,,,,,,
161.06,161.23,0.17,-0.0446751568,18.29,2025-11-05T17:01:32.867Z,stop loss triggered,-0.07195380754,161.315,0.2161,161.06,0.1583,short,,,,,,
160.96,161.27,0.16,-0.064441216,118.75,2025-11-05T17:06:43.246Z,stop loss triggered,-0.1037245813,161.255,0.241,160.925,0.1833,short,,,,,,
161.78,161.95,0.16,0.0122864384,107.45,2025-11-05T17:24:43.863Z,profit target reached,0.01987700004,161.965,0.0567,161.705,-0.0464,long,,,,,,
161.6,161.9037,0.16,-0.06349205325,70.89,2025-11-05T18:02:39.313Z,stop loss triggered,-0.102603158,161.885,0.2341,161.6,0.1764,short,,,,,,
162.88,163.15,0.16,-0.0582172416,250.13,2025-11-05T19:04:28.067Z,stop loss triggered,-0.09482424312,163.155,0.2266,162.825,0.1688,short,,,,,,
162.88,162.65,0.16,0.0217942784,44.21,2025-11-05T19:05:50.861Z,profit target reached,0.03549852066,162.885,0.0607,162.625,0.0031,short,,,,,,
162.9,163.05,0.16,0.00898368,44.39,2025-11-05T19:17:00.357Z,profit target reached,0.01463441472,163.055,0.0375,162.855,-0.0276,long,,,,,,
162.47,162.72,0.16,-0.0549789952,186.02,2025-11-05T19:25:44.414Z,stop loss triggered,-0.0893243735,162.715,0.2085,162.435,0.1508,short,,,,,,
162.4,162.27,0.16,0.0058362112,22.91,2025-11-05T19:48:49.427Z,profit target reached,0.009478006989,162.405,0.0607,162.265,0.0031,short,,,,,,
163.01,163.12,0.16,0.002574464,361.95,2025-11-05T20:12:29.068Z,profit target reached,0.004196633766,163.165,0.0375,162.795,-0.1319,long,,,,,,
163.05,162.89,0.16,0.0105769984,23.79,2025-11-05T20:26:05.978Z,profit target reached,0.01724579589,163.055,0.0607,162.885,0.0031,short,,,,,,
161.39,161.62,0.16,0.0219209984,18,2025-11-05T21:35:14.964Z,profit target reached,0.03537829932,161.615,0.0818,161.385,-0.0031,long,,,,,,
161.5,161.65,0.16,0.009112704,54.68,2025-11-05T21:45:15.699Z,profit target reached,0.01471701696,161.66,0.0414,161.475,-0.0155,long,,,,,,
161.74,161.93,0.16,0.015489664,54.61,2025-11-05T21:47:23.449Z,profit target reached,0.02505298255,161.905,0.0444,161.735,-0.0031,long,,,,,,
161.39,161.26,0.16,0.0059292928,75.58,2025-11-05T22:06:34.813Z,profit target reached,0.00956928565,161.395,0.0607,161.255,0.0031,short,,,,,,
